,,,,,,,,,,,S&P500,Nasdaq,Overnight Index Swap Rate (USD),VIX Index
time,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,MANA,XLM,XRP,SPXT,XCMP,USSOC,VIX
2017/12/10,-0.093775934,-0.060304093,0.014564029,-0.014832162,-0.076914943,0.048539696,-0.052186178,0.069865198,-0.13570887,-0.034849129,0.00000,0.00000,0.00000,0.00000
2017/12/11,0.081501832,0.087079583,0.111083296,0.048335975,0.175949048,-0.013338564,0.45116342,0.137650725,0.231578947,0.079260238,0.00321,0.00512,0.00445,-0.02505
2017/12/12,0.138018628,0.144387531,0.021002876,0.181783825,0.279043036,-0.091451292,0.531276219,-0.02334167,0.047008547,0.450428397,0.00158,-0.00185,0.00257,0.06210
2017/12/13,-0.011904762,-0.013334904,-0.046656794,0.083146786,0.064841894,0.139606127,-0.070771947,0.513230094,-0.014285714,0.289451477,-0.00044,0.00198,0.00043,0.02621
2017/12/14,0.856927711,0.214708932,0.011118806,0.06554473,-0.007881675,0.232718894,-0.083401579,0.091861402,0.28226363,0.855802792,-0.00390,-0.00269,0.00242,0.03045
2017/12/15,-0.130575831,-0.06569698,0.069039726,0.013577168,-0.013423109,0.002803738,0.073121046,-0.129151292,0.049515608,-0.132831786,0.00903,0.01171,-0.00199,-0.10200
2017/12/16,0.858208955,-0.012838683,0.098872754,0.542099508,0.012509682,0.057471264,0.005894695,-0.002542373,0.178461538,0.002711129,0.00000,0.00000,0.00000,0.00000
2017/12/17,0.218624498,0.033442321,-0.014462286,0.035454707,0.035910685,0.215628672,0.05803867,-0.065420561,0.144473455,-0.038258754,0.00000,0.00000,0.00000,0.00000
2017/12/18,0.083625129,0.165024149,-0.004898323,0.073446328,0.095135918,0.171097148,0.118722033,0.041818182,0.040304183,0.062412145,0.00540,0.00846,0.00007,0.01168
2017/12/19,0.003801559,0.266043721,-0.076354394,-0.137320574,0.033728164,-0.121337185,-0.029761405,-0.068062827,-0.0625,-0.028314369,-0.00321,-0.00439,0.00263,0.05247
2017/12/20,-0.066464685,0.367183849,-0.060588232,0.178776114,-0.016406154,-0.111789573,-0.121255802,0.093632959,-0.027680312,-0.027233115,-0.00070,-0.00041,0.00000,-0.03091
